accession,genus_species,genus,isolation_source_host_focus,isolation_source,symbiosis_type,host_identity,habitat_classification,family,order
GCA_001858525.1_ASM185852v1_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Freshwater reservoir,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_001899315.1_ASM189931v1_genomic,Obscuribacter phosphatis,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_003149345.1_ASM314934v1_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Algae pond,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_003149375.1_ASM314937v1_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Algae pond,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_016706695.1_ASM1670669v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016712465.1_ASM1671246v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016714375.1_ASM1671437v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016716945.1_ASM1671694v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016718315.1_ASM1671831v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016719695.1_ASM1671969v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016720765.1_ASM1672076v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016721225.1_ASM1672122v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_016788365.1_ASM1678836v1_genomic,Obscuribacter sp.,Obscuribacter,Bioreactor sludge,Bioreactor sludge,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_017303615.1_ASM1730361v1_genomic,Obscuribacter phosphatis,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_017987375.1_ASM1798737v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_017989675.1_ASM1798967v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_017998685.1_ASM1799868v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Wastewater,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_021732305.1_ASM2173230v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Drinking water,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_021772095.1_ASM2177209v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Oligotrophic lake,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_021772135.1_ASM2177213v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Oligotrophic lake,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_021772155.1_ASM2177215v1_genomic,Obscuribacter sp.,Obscuribacter,Aquatic,Oligotrophic lake,Free-living,Aquatic,Aquatic,Obscuribacteraceae,Obscuribacterales
GCA_024998755.1_ASM2499875v1_genomic,Vampirovibrio sp.,Vampirovibrio,Aquatic,Freshwater lake,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_027448865.1_ASM2744886v1_genomic,Vampirovibrio sp.,Vampirovibrio,Aquatic,Acid mine drain,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
GCA_903826385.1_freshwater_MAG_---_Umea1p2_bin-0125_genomic,Vampirovibrio chlorellavorus,Vampirovibrio,Aquatic,Lake,Free-living,Aquatic,Aquatic,Vampirovibrionaceae,Vampirovibrionales
