"","seqid","source","type","start","end","strand","phase","sample","cluster_id","nearest_mibig","mibig_class","dice","score","partial_cluster"
"1","CM007359.1","SanntiSv0.9.1","CLUSTER","23157","55892",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","CM007359.1_sanntis_1","BGC0000868","Other","0.509","0.690","partial=00"
"2","LAPX01000001.1","SanntiSv0.9.1","CLUSTER","136267","149372",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","LAPX01000001.1_sanntis_1","BGC0000752","Saccharide","0.500","0.560","partial=00"
"3","LAPX01000005.1","SanntiSv0.9.1","CLUSTER","105152","116020",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","LAPX01000005.1_sanntis_1","BGC0000786","Saccharide","0.600","0.450","partial=00"
"4","LAPX01000005.1","SanntiSv0.9.1","CLUSTER","122960","148592",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","LAPX01000005.1_sanntis_2","BGC0000732","Saccharide","0.600","0.520","partial=00"
"5","LAPX01000006.1","SanntiSv0.9.1","CLUSTER","191","19051",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","LAPX01000006.1_sanntis_1","BGC0000868","Other","0.333","0.670","partial=10"
"6","LAPX01000009.1","SanntiSv0.9.1","CLUSTER","32107","40529",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","LAPX01000009.1_sanntis_1","BGC0000786","Saccharide","0.389","0.610","partial=00"
"7","LAPX01000013.1","SanntiSv0.9.1","CLUSTER","88147","95331",NA,NA,"GCA_001858525.1_ASM185852v1_genomic_sanntis","LAPX01000013.1_sanntis_1","BGC0000282","Polyketide","0.474","0.760","partial=00"
"11","MOYA01000001.1","SanntiSv0.9.1","CLUSTER","669893","679142",NA,NA,"GCA_001899315.1_ASM189931v1_genomic_sanntis","MOYA01000001.1_sanntis_1","BGC0000677","Terpene","0.739","0.450","partial=00"
"21","MOYA01000003.1","SanntiSv0.9.1","CLUSTER","359620","373400",NA,NA,"GCA_001899315.1_ASM189931v1_genomic_sanntis","MOYA01000003.1_sanntis_1","BGC0001894","Saccharide","0.552","0.490","partial=00"
"31","MOYA01000003.1","SanntiSv0.9.1","CLUSTER","641663","655264",NA,NA,"GCA_001899315.1_ASM189931v1_genomic_sanntis","MOYA01000003.1_sanntis_2","BGC0001168","NRP","0.581","0.610","partial=00"
"41","MOYA01000005.1","SanntiSv0.9.1","CLUSTER","248031","253480",NA,NA,"GCA_001899315.1_ASM189931v1_genomic_sanntis","MOYA01000005.1_sanntis_1","BGC0001188","RiPP","0.652","0.430","partial=00"
"12","QFWI01000008.1","SanntiSv0.9.1","CLUSTER","566832","580761",NA,NA,"GCA_003149345.1_ASM314934v1_genomic_sanntis","QFWI01000008.1_sanntis_1","BGC0000752","Saccharide","0.533","0.650","partial=00"
"22","QFWI01000008.1","SanntiSv0.9.1","CLUSTER","882847","895672",NA,NA,"GCA_003149345.1_ASM314934v1_genomic_sanntis","QFWI01000008.1_sanntis_2","BGC0000786","Saccharide","0.641","0.390","partial=00"
"32","QFWI01000031.1","SanntiSv0.9.1","CLUSTER","141441","165563",NA,NA,"GCA_003149345.1_ASM314934v1_genomic_sanntis","QFWI01000031.1_sanntis_1","BGC0000868","Other","0.333","0.640","partial=00"
"42","QFWI01000031.1","SanntiSv0.9.1","CLUSTER","299101","309889",NA,NA,"GCA_003149345.1_ASM314934v1_genomic_sanntis","QFWI01000031.1_sanntis_2","BGC0000868","Other","0.586","0.390","partial=00"
"13","QFWH01000003.1","SanntiSv0.9.1","CLUSTER","81451","101429",NA,NA,"GCA_003149375.1_ASM314937v1_genomic_sanntis","QFWH01000003.1_sanntis_1","BGC0001651","Other","0.465","0.490","partial=00"
"23","QFWH01000003.1","SanntiSv0.9.1","CLUSTER","273821","294632",NA,NA,"GCA_003149375.1_ASM314937v1_genomic_sanntis","QFWH01000003.1_sanntis_2","BGC0000868","Other","0.385","0.610","partial=00"
"33","QFWH01000005.1","SanntiSv0.9.1","CLUSTER","137452","150759",NA,NA,"GCA_003149375.1_ASM314937v1_genomic_sanntis","QFWH01000005.1_sanntis_1","BGC0000752","Saccharide","0.517","0.570","partial=00"
"43","QFWH01000005.1","SanntiSv0.9.1","CLUSTER","231855","242586",NA,NA,"GCA_003149375.1_ASM314937v1_genomic_sanntis","QFWH01000005.1_sanntis_2","BGC0000829","Alkaloid","0.714","0.450","partial=00"
"51","QFWH01000007.1","SanntiSv0.9.1","CLUSTER","28723","38557",NA,NA,"GCA_003149375.1_ASM314937v1_genomic_sanntis","QFWH01000007.1_sanntis_1","BGC0000786","Saccharide","0.463","0.580","partial=00"
"14","JADJJA010000006.1","SanntiSv0.9.1","CLUSTER","98522","105335",NA,NA,"GCA_016706695.1_ASM1670669v1_genomic_sanntis","JADJJA010000006.1_sanntis_1","BGC0001168","NRP","0.353","0.790","partial=00"
"24","JADJJA010000018.1","SanntiSv0.9.1","CLUSTER","22845","24590",NA,NA,"GCA_016706695.1_ASM1670669v1_genomic_sanntis","JADJJA010000018.1_sanntis_1","BGC0000647","Terpene","0.714","0.980","partial=00"
"34","JADJJA010000028.1","SanntiSv0.9.1","CLUSTER","66295","83308",NA,NA,"GCA_016706695.1_ASM1670669v1_genomic_sanntis","JADJJA010000028.1_sanntis_1","BGC0000282","Polyketide","0.647","0.580","partial=00"
"44","JADJJA010000033.1","SanntiSv0.9.1","CLUSTER","31751","43645",NA,NA,"GCA_016706695.1_ASM1670669v1_genomic_sanntis","JADJJA010000033.1_sanntis_1","BGC0001894","Saccharide","0.587","0.420","partial=00"
"15","JADJQZ010000001.1","SanntiSv0.9.1","CLUSTER","441232","473712",NA,NA,"GCA_016712465.1_ASM1671246v1_genomic_sanntis","JADJQZ010000001.1_sanntis_1","BGC0001168","NRP","0.600","0.670","partial=00"
"25","JADJQZ010000001.1","SanntiSv0.9.1","CLUSTER","794855","810363",NA,NA,"GCA_016712465.1_ASM1671246v1_genomic_sanntis","JADJQZ010000001.1_sanntis_2","BGC0000794","Saccharide","0.517","0.480","partial=00"
"16","JADJND010000001.1","SanntiSv0.9.1","CLUSTER","151030","156476",NA,NA,"GCA_016714375.1_ASM1671437v1_genomic_sanntis","JADJND010000001.1_sanntis_1","BGC0000228","Polyketide","0.353","0.760","partial=00"
"26","JADJND010000003.1","SanntiSv0.9.1","CLUSTER","55729","68947",NA,NA,"GCA_016714375.1_ASM1671437v1_genomic_sanntis","JADJND010000003.1_sanntis_1","BGC0001894","Saccharide","0.612","0.420","partial=00"
"35","JADJND010000003.1","SanntiSv0.9.1","CLUSTER","331567","338336",NA,NA,"GCA_016714375.1_ASM1671437v1_genomic_sanntis","JADJND010000003.1_sanntis_2","BGC0001168","NRP","0.353","0.800","partial=00"
"45","JADJND010000011.1","SanntiSv0.9.1","CLUSTER","162791","177193",NA,NA,"GCA_016714375.1_ASM1671437v1_genomic_sanntis","JADJND010000011.1_sanntis_1","BGC0000282","Polyketide","0.647","0.580","partial=00"
"52","JADJND010000012.1","SanntiSv0.9.1","CLUSTER","164151","173564",NA,NA,"GCA_016714375.1_ASM1671437v1_genomic_sanntis","JADJND010000012.1_sanntis_1","BGC0000656","Terpene","0.556","0.680","partial=00"
"17","JADJUQ010000001.1","SanntiSv0.9.1","CLUSTER","328973","341696",NA,NA,"GCA_016716945.1_ASM1671694v1_genomic_sanntis","JADJUQ010000001.1_sanntis_1","BGC0001168","NRP","0.522","0.690","partial=00"
"27","JADJUQ010000002.1","SanntiSv0.9.1","CLUSTER","172879","174624",NA,NA,"GCA_016716945.1_ASM1671694v1_genomic_sanntis","JADJUQ010000002.1_sanntis_1","BGC0000647","Terpene","0.714","0.980","partial=00"
"36","JADJUQ010000008.1","SanntiSv0.9.1","CLUSTER","17729","65484",NA,NA,"GCA_016716945.1_ASM1671694v1_genomic_sanntis","JADJUQ010000008.1_sanntis_1","BGC0000690","Saccharide","0.653","0.550","partial=00"
"46","JADJUQ010000029.1","SanntiSv0.9.1","CLUSTER","28805","32323",NA,NA,"GCA_016716945.1_ASM1671694v1_genomic_sanntis","JADJUQ010000029.1_sanntis_1","BGC0000282","Polyketide","0.333","0.660","partial=01"
